,Age,Gender,Occupation,Location,Shopping Frequency,Shopping Methods,"Online, instore preferences",Influence Factors,Types of Clothing,Brand Preference,Brand Choice Factors,Likeliness of Promotion or Discount,Preferred Types of Promotions or Discounts,Communication Methods,Average Spent,Payment Methods
40,30-45,Female,Other,Maharagama,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Neutral,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
41,More than 45,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Piliyandala,Rarely,"Physical retail stores, Department stores",Physical retail stores,"Convenience, Personalized shopping experience, Competitive pricing",Formal Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, In store notifications, Leaflets",Less than Rs.2000,Credit/Debit Card
42,18-24,Female,Student/Undergraduate,Piliyandala,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","Yes, I have preferred brands","Price and affordability, Brand's commitment to sustainability, Trendiness and style",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
43,25-30,Female,"Office Worker (e.g., Administrative, Clerical, etc.)",Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Online fashion stores,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
44,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Homagama,Once a month,"Physical retail stores, Thrift/ Second Hand shops",Physical retail stores,"Personalized shopping experience, Competitive pricing, Ability to try on products before purchasing",Formal Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
45,18-24,Female,Student/Undergraduate,Piliyandala,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,Credit/Debit Card
46,18-24,Male,Student/Undergraduate,Maharagama,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Brand's commitment to sustainability, Promotions and Discounts",Very likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","SMS/text messages, Social media updates, Leaflets",Rs.2000-Rs.5000,Cash
47,18-24,Female,Student/Undergraduate,Kottawa,Rarely,"Physical retail stores, Department stores",Depends on the occasion,"Availability of a wide range of options, Competitive pricing, Ability to try on products before purchasing","Casual Wear, Athletic/Activewear","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, In store notifications, Leaflets",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
48,18-24,Female,"Professional (e.g., Engineer, Doctor, Lawyer, etc.)",Kottawa,Once a month,"Online fashion stores/ web-sites, Boutiques",Physical retail stores,"Personalized shopping experience, Ability to try on products before purchasing, Environmental considerations (eg. reduce carbon emission)",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","Email newsletters, SMS/text messages, Social media updates",Rs.5000-Rs.10000,Credit/Debit Card
49,18-24,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Colombo,Once a month,"Physical retail stores, Department stores",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Brand's commitment to sustainability, Trendiness and style",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, Social media updates, Leaflets",Rs.5000-Rs.10000,Credit/Debit Card
50,18-24,Female,Self-Employed/Entrepreneur,Colombo,Once a month,"Physical retail stores, Department stores",Equally prefer both,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","Email newsletters, SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
51,25-30,Female,Self-Employed/Entrepreneur,Colombo,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Price and affordability, Brand's commitment to sustainability, Trendiness and style",Very likely,"Seasonal sales, Loyalty rewards programs, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,Online Payment Platforms
52,18-24,Female,Student/Undergraduate,Piliyandala,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Neutral,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Online Payment Platforms"
53,More than 45,Female,Other,Piliyandala,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Online fashion stores,"Convenience, Competitive pricing, Environmental considerations (eg. reduce carbon emission)",Casual Wear,"No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Cash
